status,current,target,score,secondScore,sourceTitle,reason
skip,TeenWing Into the BreachAAAAAA_20251121233241.mp4,Teenwing - Into The BreachAAA.mp4,1.000,0.889,VV#108 – Teenwing: Into The Breach,source missing or target exists at execution
rename,The amazon man`s world_goodAAAAA.mp4,The Amazon - Man's WorldAAA.mp4,1.000,0.909,VV#94 – The Amazon: Man’s World,
skip,The Last Amazon B.mp4,,0.681,0.652,,no high-confidence title match
skip,The visitorAAAAAAA.wmv,,0.545,0.533,,no high-confidence title match
skip,UKSG - Naomi Walker vs RRS.mp4,,0.294,0.279,,no high-confidence title match
skip,UKSG_-_Agent_6_Defeated.wmv,,0.450,0.372,,no high-confidence title match
skip,UKSG_-_Agent_Black_Widow_vs_Agent_X.mp4,,0.388,0.365,,no high-confidence title match
skip,UKSG_-_Agent_Blade_Fights_Back.wmv,,0.294,0.290,,no high-confidence title match
skip,UKSG_-_Agent_Cole_From_Russia_With_Love.wmv,,0.312,0.294,,no high-confidence title match
skip,UKSG_-_Agent_Jade_in_Dreams.wmv,,0.339,0.331,,no high-confidence title match
skip,UKSG_-_Agent_Summers_vs_Agent_X.wmv,,0.299,0.273,,no high-confidence title match
skip,UKSG_-_Amy_Thorn_vs_RRS.wmv,,0.305,0.300,,no high-confidence title match
skip,UKSG_-_Black_Widow_Vs_Gold_Face.wmv,,0.392,0.366,,no high-confidence title match
skip,UKSG_-_Charlotte_Steele_vs_Agent_X.wmv,,0.323,0.309,,no high-confidence title match
skip,UKSG_-_Clone_Agents.wmv,,0.415,0.395,,no high-confidence title match
skip,UKSG_-_Deadly_Grip_of_the_Viper.wmv,,0.358,0.350,,no high-confidence title match
skip,UKSG_-_Detective_Sue_Ryan_and_Copy_Cat_Killer.wmv,,0.373,0.321,,no high-confidence title match
skip,UKSG_-_Enter_Agent_Summers AAAAAAA.mpg,,0.326,0.321,,no high-confidence title match
skip,UKSG_-_Enter_Penelope_Lewis.wmv,,0.312,0.308,,no high-confidence title match
skip,UKSG_-_Enter_Sam_Knight.wmv,,0.321,0.315,,no high-confidence title match
